judet,localitate,strada,zip
Bucureşti,Bucureşti,Stradă Stirbei Voda,010108
Bucureşti,Bucureşti,Stradă Stirbei Voda,010109
Bucureşti,Bucureşti,Stradă Stirbei Voda,010111
Bucureşti,Bucureşti,Stradă Stirbei Voda,010112
Bucureşti,Bucureşti,Stradă Stirbei Voda,010113
Bucureşti,Bucureşti,Stradă Stirbei Voda,010114
Bucureşti,Bucureşti,Stradă Stirbei Voda,010115
Bucureşti,Bucureşti,Stradă Stirbei Voda,010116
Bucureşti,Bucureşti,Stradă Stirbei Voda,010117
Bucureşti,Bucureşti,Stradă Stirbei Voda,010118
Bucureşti,Bucureşti,Stradă Stirbei Voda,010119
Bucureşti,Bucureşti,Stradă Stirbei Voda,010121
Bucureşti,Bucureşti,Stradă Stirbei Voda,010122
Bucureşti,Bucureşti,Stradă Stirbei Voda,010123
Bucureşti,Bucureşti,Intrare Stirbei Voda,010124
Bucureşti,Bucureşti,Piata Ionesco Eugen,010125
Bucureşti,Bucureşti,"Stradă Brezoianu Ion, actor",010131
Bucureşti,Bucureşti,"Stradă Brezoianu Ion, actor",010132
Bucureşti,Bucureşti,"Stradă Brezoianu Ion, actor",010133
Bucureşti,Bucureşti,"Stradă Brezoianu Ion, actor",010134
Bucureşti,Bucureşti,"Stradă Brezoianu Ion, actor",010135
Bucureşti,Bucureşti,"Stradă Brezoianu Ion, actor",010136
Bucureşti,Bucureşti,"Stradă Brezoianu Ion, actor",010137
Bucureşti,Bucureşti,"Stradă Brezoianu Ion, actor",010138
Bucureşti,Bucureşti,"Stradă Brezoianu Ion, actor",010139
Bucureşti,Bucureşti,Stradă Mille Constantin,010141
Bucureşti,Bucureşti,Stradă Mille Constantin,010142
Bucureşti,Bucureşti,Stradă Otetelesanu Ion,010143
Bucureşti,Bucureşti,Stradă Millo Matei,010144
Bucureşti,Bucureşti,Stradă Millo Matei,010145
Bucureşti,Bucureşti,Stradă Vraca George,010146
Bucureşti,Bucureşti,"Stradă Demetriade Aristide, actor",010147
Bucureşti,Bucureşti,Intrare Episcopul Ambrozie,010148
Bucureşti,Bucureşti,Piata Tricolorului,010149
Bucureşti,Bucureşti,Stradă Zalomit Z. Ion,010151
Bucureşti,Bucureşti,Intrare Rigas,010152
Bucureşti,Bucureşti,Intrare Eftimiu Victor,010153
Bucureşti,Bucureşti,Intrare Eftimiu Victor,010154
Bucureşti,Bucureşti,"Piata Maracineanu Valter, cpt.",010155
Bucureşti,Bucureşti,Stradă Sipotul Fântânelor,010156
Bucureşti,Bucureşti,Stradă Sipotul Fântânelor,010157
Bucureşti,Bucureşti,Stradă Poiana Narciselor,010158
Bucureşti,Bucureşti,"Stradă Sion Vasile, dr.",010159
Bucureşti,Bucureşti,Stradă Luterana,010161
Bucureşti,Bucureşti,Stradă Luterana,010162
Bucureşti,Bucureşti,"Stradă Berthelot Henri Mathias, g-ral.",010163
Bucureşti,Bucureşti,"Stradă Berthelot Henri Mathias, g-ral.",010164
Bucureşti,Bucureşti,"Stradă Berthelot Henri Mathias, g-ral.",010165
Bucureşti,Bucureşti,"Stradă Berthelot Henri Mathias, g-ral.",010166
Bucureşti,Bucureşti,"Stradă Berthelot Henri Mathias, g-ral.",010167
Bucureşti,Bucureşti,"Stradă Berthelot Henri Mathias, g-ral.",010168
Bucureşti,Bucureşti,"Stradă Berthelot Henri Mathias, g-ral.",010169
Bucureşti,Bucureşti,"Stradă Berthelot Henri Mathias, g-ral.",010171
Bucureşti,Bucureşti,"Stradă Berthelot Henri Mathias, g-ral.",010172
Bucureşti,Bucureşti,Intrare Sfântul Sava,010173
Bucureşti,Bucureşti,Stradă Haret Spiru,010174
Bucureşti,Bucureşti,Stradă Haret Spiru,010175
Bucureşti,Bucureşti,Stradă Haret Spiru,010176
Bucureşti,Bucureşti,Stradă Putul cu Plopi,010177
Bucureşti,Bucureşti,Stradă Putul cu Plopi,010178
Bucureşti,Bucureşti,Stradă Astronomului,010179
Bucureşti,Bucureşti,Bulevard Schitul Magureanu,010181
Bucureşti,Bucureşti,Bulevard Schitul Magureanu,010182
Bucureşti,Bucureşti,Bulevard Schitul Magureanu,010183
Bucureşti,Bucureşti,Bulevard Schitul Magureanu,010184
Bucureşti,Bucureşti,Bulevard Schitul Magureanu,010185
Bucureşti,Bucureşti,Bulevard Schitul Magureanu,010186
Bucureşti,Bucureşti,"Stradă Stahi D. Constantin, pictor",010187
Bucureşti,Bucureşti,"Stradă Stahi D. Constantin, pictor",010188
Bucureşti,Bucureşti,"Stradă Cobalcescu Grigore, prof.",010191
Bucureşti,Bucureşti,"Stradă Cobalcescu Grigore, prof.",010192
Bucureşti,Bucureşti,"Stradă Cobalcescu Grigore, prof.",010193
Bucureşti,Bucureşti,"Stradă Cobalcescu Grigore, prof.",010194
Bucureşti,Bucureşti,"Stradă Cobalcescu Grigore, prof.",010195
Bucureşti,Bucureşti,"Stradă Cobalcescu Grigore, prof.",010196
Bucureşti,Bucureşti,"Stradă Cristescu Constantin, g-ral.",010197
Bucureşti,Bucureşti,"Stradă Cristescu Constantin, g-ral.",010198
Bucureşti,Bucureşti,Stradă Lazar Gheorghe,010201
Bucureşti,Bucureşti,Stradă Lazar Gheorghe,010202
Bucureşti,Bucureşti,Stradă Ostasilor,010203
Bucureşti,Bucureşti,Stradă Ostasilor,010204
Bucureşti,Bucureşti,Stradă Ostasilor,010205
Bucureşti,Bucureşti,Stradă Slavici Ion,010206
Bucureşti,Bucureşti,Stradă Slavici Ion,010207
Bucureşti,Bucureşti,Stradă Perlea Ionel,010208
Bucureşti,Bucureşti,Stradă Perlea Ionel,010209
Bucureşti,Bucureşti,Stradă Pompiliu Eliade,010211
Bucureşti,Bucureşti,Stradă Pompiliu Eliade,010212
Bucureşti,Bucureşti,Intrare Aurora,010213
Bucureşti,Bucureşti,Stradă Bibicescu  G.Ioan,010214
Bucureşti,Bucureşti,Stradă Burada Theodor,010215
Bucureşti,Bucureşti,Stradă Pârvan Vasile,010216
Bucureşti,Bucureşti,Stradă Sfântul Constantin,010217
Bucureşti,Bucureşti,Stradă Sfântul Constantin,010218
Bucureşti,Bucureşti,Stradă Sfântul Constantin,010219
Bucureşti,Bucureşti,Cale Plevnei,010221
Bucureşti,Bucureşti,Cale Plevnei,010222
Bucureşti,Bucureşti,Cale Plevnei,010223
Bucureşti,Bucureşti,Cale Plevnei,010231
Bucureşti,Bucureşti,Cale Plevnei,010232
Bucureşti,Bucureşti,Cale Plevnei,010233
Bucureşti,Bucureşti,Cale Plevnei,010234
Bucureşti,Bucureşti,Cale Plevnei,010235
Bucureşti,Bucureşti,Stradă Berzei,010251
Bucureşti,Bucureşti,Stradă Berzei,010255
Bucureşti,Bucureşti,Stradă Berzei,010256
Bucureşti,Bucureşti,Stradă Berzei,010257
Bucureşti,Bucureşti,Intrare Ezareni,010258
Bucureşti,Bucureşti,Piata Cioran Emil,010259
Bucureşti,Bucureşti,Intrare Micle Veronica,010046
Bucureşti,Bucureşti,Cale Plevnei,010224
Bucureşti,Bucureşti,Cale Plevnei,010225
Bucureşti,Bucureşti,Cale Plevnei,010236
Bucureşti,Bucureşti,Cale Plevnei,010237
Bucureşti,Bucureşti,Cale Plevnei,010238
Bucureşti,Bucureşti,Cale Plevnei,010241
Bucureşti,Bucureşti,Cale Plevnei,010242
Bucureşti,Bucureşti,Cale Plevnei,010243
Bucureşti,Bucureşti,Stradă Berzei,010252
Bucureşti,Bucureşti,Stradă Berzei,010253
Bucureşti,Bucureşti,Stradă Berzei,010254
Bucureşti,Bucureşti,Stradă Berzei,010261
Bucureşti,Bucureşti,Stradă Berzei,010262
Bucureşti,Bucureşti,Stradă Berzei,010263
Bucureşti,Bucureşti,Splai Independentei,010271
Bucureşti,Bucureşti,Stradă Manu Gheorghe,010443
Bucureşti,Bucureşti,Stradă Manu Gheorghe,010444
Bucureşti,Bucureşti,Stradă Manu Gheorghe,010446
Bucureşti,Bucureşti,Stradă Manu Gheorghe,010447
Bucureşti,Bucureşti,Cale Grivitei,010701
Bucureşti,Bucureşti,Cale Grivitei,010702
Bucureşti,Bucureşti,Cale Grivitei,010703
Bucureşti,Bucureşti,Cale Grivitei,010704
Bucureşti,Bucureşti,Cale Grivitei,010705
Bucureşti,Bucureşti,Cale Grivitei,010706
Bucureşti,Bucureşti,Cale Grivitei,010707
Bucureşti,Bucureşti,Cale Grivitei,010708
Bucureşti,Bucureşti,Cale Grivitei,010709
Bucureşti,Bucureşti,Cale Grivitei,010711
Bucureşti,Bucureşti,Intrare Grivitei,010712
Bucureşti,Bucureşti,Cale Grivitei,010731
Bucureşti,Bucureşti,Cale Grivitei,010732
Bucureşti,Bucureşti,Cale Grivitei,010733
Bucureşti,Bucureşti,Cale Grivitei,010734
Bucureşti,Bucureşti,Cale Grivitei,010735
Bucureşti,Bucureşti,Cale Grivitei,010736
Bucureşti,Bucureşti,Cale Grivitei,010737
Bucureşti,Bucureşti,Cale Grivitei,010738
Bucureşti,Bucureşti,Cale Grivitei,010741
Bucureşti,Bucureşti,Cale Grivitei,010742
Bucureşti,Bucureşti,Cale Grivitei,010743
Bucureşti,Bucureşti,Cale Grivitei,010744
Bucureşti,Bucureşti,Cale Grivitei,010745
Bucureşti,Bucureşti,Stradă Banului,010771
Bucureşti,Bucureşti,"Stradă Budisteanu Constantin, g-ral.",010772
Bucureşti,Bucureşti,"Stradă Budisteanu Constantin, g-ral.",010773
Bucureşti,Bucureşti,"Stradă Budisteanu Constantin, g-ral.",010774
Bucureşti,Bucureşti,"Stradă Budisteanu Constantin, g-ral.",010775
Bucureşti,Bucureşti,"Stradă Aman Theodor, pictor",010776
Bucureşti,Bucureşti,"Stradă Aman Theodor, pictor",010777
Bucureşti,Bucureşti,"Stradă Aman Theodor, pictor",010778
Bucureşti,Bucureşti,"Stradă Aman Theodor, pictor",010779
Bucureşti,Bucureşti,"Stradă Dona C. Nicolae, g-ral.",010781
Bucureşti,Bucureşti,"Stradă Dona C. Nicolae, g-ral.",010782
Bucureşti,Bucureşti,Stradă Cazzavillan Luigi,010783
Bucureşti,Bucureşti,Stradă Cazzavillan Luigi,010784
Bucureşti,Bucureşti,Stradă Cazzavillan Luigi,010785
Bucureşti,Bucureşti,Stradă Cazzavillan Luigi,010786
Bucureşti,Bucureşti,Intrare Cazzavillan Luigi,010787
Bucureşti,Bucureşti,Stradă Temisana,010791
Bucureşti,Bucureşti,Stradă Temisana,010792
Bucureşti,Bucureşti,Stradă Temisana,010793
Bucureşti,Bucureşti,Stradă Temisana,010794
Bucureşti,Bucureşti,Intrare Temisana,010795
Bucureşti,Bucureşti,Stradă Transilvaniei,010796
Bucureşti,Bucureşti,Stradă Transilvaniei,010797
Bucureşti,Bucureşti,Stradă Transilvaniei,010798
Bucureşti,Bucureşti,Stradă Transilvaniei,010799
Bucureşti,Bucureşti,Stradă Popa Tatu,010801
Bucureşti,Bucureşti,Stradă Popa Tatu,010802
Bucureşti,Bucureşti,Stradă Popa Tatu,010803
Bucureşti,Bucureşti,Stradă Popa Tatu,010804
Bucureşti,Bucureşti,Stradă Popa Tatu,010805
Bucureşti,Bucureşti,Stradă Popa Tatu,010806
Bucureşti,Bucureşti,Stradă Popa Tatu,010807
Bucureşti,Bucureşti,Piata Musatescu Tudor,010808
Bucureşti,Bucureşti,Stradă Vulcanescu Mircea,010811
Bucureşti,Bucureşti,Stradă Vulcanescu Mircea,010812
Bucureşti,Bucureşti,Stradă Vulcanescu Mircea,010813
Bucureşti,Bucureşti,Stradă Vulcanescu Mircea,010814
Bucureşti,Bucureşti,Stradă Vulcanescu Mircea,010815
Bucureşti,Bucureşti,Stradă Vulcanescu Mircea,010816
Bucureşti,Bucureşti,Stradă Vulcanescu Mircea,010817
Bucureşti,Bucureşti,Stradă Vulcanescu Mircea,010818
Bucureşti,Bucureşti,Stradă Vulcanescu Mircea,010819
Bucureşti,Bucureşti,Stradă Vulcanescu Mircea,010821
Bucureşti,Bucureşti,Stradă Vulcanescu Mircea,010822
Bucureşti,Bucureşti,Stradă Vulcanescu Mircea,010823
Bucureşti,Bucureşti,Stradă Vulcanescu Mircea,010824
Bucureşti,Bucureşti,Stradă Vulcanescu Mircea,010825
Bucureşti,Bucureşti,Stradă Vulcanescu Mircea,010826
Bucureşti,Bucureşti,Stradă Crisana,010827
Bucureşti,Bucureşti,Stradă Crisana,010828
Bucureşti,Bucureşti,Stradă Maramures,010831
Bucureşti,Bucureşti,Stradă Maramures,010832
Bucureşti,Bucureşti,Stradă Horatiu,010833
Bucureşti,Bucureşti,Stradă Horatiu,010834
Bucureşti,Bucureşti,"Stradă Hasdeu Iulia, poeta",010835
Bucureşti,Bucureşti,"Stradă Hasdeu Iulia, poeta",010836
Bucureşti,Bucureşti,"Intrare Hasdeu Iulia, poeta",010837
Bucureşti,Bucureşti,Intrare Alexe Marin,010838
Bucureşti,Bucureşti,"Piata Botescu Haralambie, dr.",010841
Bucureşti,Bucureşti,"Piata Botescu Haralambie, dr.",010842
Bucureşti,Bucureşti,Stradă Baldovin Pârcalabul,010843
Bucureşti,Bucureşti,Stradă Baldovin Pârcalabul,010844
Bucureşti,Bucureşti,Stradă Baldovin Pârcalabul,010845
Bucureşti,Bucureşti,Intrare Baldovin Pârcalabul,010846
Bucureşti,Bucureşti,Stradă Atelierului,010847
Bucureşti,Bucureşti,Stradă Atelierului,010848
Bucureşti,Bucureşti,Intrare Luncani,010849
Bucureşti,Bucureşti,Stradă Cameliei,010851
Bucureşti,Bucureşti,Stradă Cameliei,010852
Bucureşti,Bucureşti,Stradă Cameliei,010853
Bucureşti,Bucureşti,Stradă Cameliei,010854
Bucureşti,Bucureşti,Stradă Gara de Nord,010855
Bucureşti,Bucureşti,Stradă Gara de Nord,010856
Bucureşti,Bucureşti,Stradă Gara de Nord,010857
Bucureşti,Bucureşti,Piata Gara de Nord,010858
Bucureşti,Bucureşti,Piata Gara de Nord,010859
Bucureşti,Bucureşti,Bulevard Golescu Dinicu,010861
Bucureşti,Bucureşti,Bulevard Golescu Dinicu,010862
Bucureşti,Bucureşti,Bulevard Golescu Dinicu,010863
Bucureşti,Bucureşti,Bulevard Golescu Dinicu,010864
Bucureşti,Bucureşti,Bulevard Golescu Dinicu,010865
Bucureşti,Bucureşti,Bulevard Golescu Dinicu,010866
Bucureşti,Bucureşti,Bulevard Golescu Dinicu,010867
Bucureşti,Bucureşti,Bulevard Golescu Dinicu,010868
Bucureşti,Bucureşti,Bulevard Golescu Dinicu,010869
Bucureşti,Bucureşti,Bulevard Golescu Dinicu,010871
Bucureşti,Bucureşti,Bulevard Golescu Dinicu,010872
Bucureşti,Bucureşti,Bulevard Golescu Dinicu,010873
Bucureşti,Bucureşti,Bulevard Golescu Dinicu,010874
Bucureşti,Bucureşti,Stradă Virgiliu,010881
Bucureşti,Bucureşti,Stradă Virgiliu,010882
Bucureşti,Bucureşti,Stradă Virgiliu,010883
Bucureşti,Bucureşti,Stradă Virgiliu,010884
Bucureşti,Bucureşti,Stradă Cotiturii,010885
Bucureşti,Bucureşti,Stradă Dobrogei,010886
Bucureşti,Bucureşti,Stradă Dobrogei,010887
Bucureşti,Bucureşti,Stradă Lipova,010888
Bucureşti,Bucureşti,Stradă Lipova,010889
Bucureşti,Bucureşti,Intrare Difuzorului,010891
Bucureşti,Bucureşti,Intrare Difuzorului,010892
Bucureşti,Bucureşti,"Stradă Gusti Dimitrie, sociolog",010893
Bucureşti,Bucureşti,"Stradă Gusti Dimitrie, sociolog",010894
Bucureşti,Bucureşti,Stradă Macedonia,010895
Bucureşti,Bucureşti,Stradă Macedonia,010896
Bucureşti,Bucureşti,Stradă Fagaras,010897
Bucureşti,Bucureşti,Stradă Fagaras,010898
Bucureşti,Bucureşti,Intrare Furtuna  Stefan,010899
Bucureşti,Bucureşti,Stradă Witing,010901
Bucureşti,Bucureşti,Stradă Witing,010902
Bucureşti,Bucureşti,Stradă Witing,010903
Bucureşti,Bucureşti,Stradă Witing,010904
Bucureşti,Bucureşti,Intrare Witing,010905
Bucureşti,Bucureşti,Stradă Aristia Costache,010911
Bucureşti,Bucureşti,Stradă Aristia Costache,010912
Bucureşti,Bucureşti,Stradă Darclâe Hariclea,010913
Bucureşti,Bucureşti,Stradă Darclâe Hariclea,010914
Bucureşti,Bucureşti,Stradă Ratiu dr.,010915
Bucureşti,Bucureşti,Stradă Ratiu dr.,010916
Bucureşti,Bucureşti,Stradă Balacescu Constantin,010917
Bucureşti,Bucureşti,Stradă Balacescu Constantin,010918
Bucureşti,Bucureşti,Stradă Institutul Medico-Militar,010919
Bucureşti,Bucureşti,Stradă Vespasian,010921
Bucureşti,Bucureşti,Stradă Vespasian,010922
Bucureşti,Bucureşti,Stradă Vespasian,010923
Bucureşti,Bucureşti,Stradă Vespasian,010924
Bucureşti,Bucureşti,Stradă Magiresti,010925
Bucureşti,Bucureşti,Stradă Magiresti,010926
Bucureşti,Bucureşti,"Stradă Pisoni, ing.",010927
Bucureşti,Bucureşti,"Stradă Pisoni, ing.",010928
Bucureşti,Bucureşti,Stradă Bihor,010931
Bucureşti,Bucureşti,Stradă Bihor,010932
Bucureşti,Bucureşti,Stradă Banat,010933
Bucureşti,Bucureşti,Stradă Banat,010934
Bucureşti,Bucureşti,Stradă Bogdan Voda,010935
Bucureşti,Bucureşti,Stradă Bogdan Voda,010936
Bucureşti,Bucureşti,Stradă Doamna Despina,010937
Bucureşti,Bucureşti,Stradă Doamna Despina,010938
Bucureşti,Bucureşti,Stradă Domnita Ancuta,010941
Bucureşti,Bucureşti,Stradă Domnita Ancuta,010942
Bucureşti,Bucureşti,Stradă Barierei,010943
Bucureşti,Bucureşti,Stradă Barierei,010944
Bucureşti,Bucureşti,Stradă Afluentului,010945
Bucureşti,Bucureşti,Stradă Afluentului,010946
Bucureşti,Bucureşti,Stradă Elizeu,010947
Bucureşti,Bucureşti,Stradă Elizeu,010948
Bucureşti,Bucureşti,Stradă Fluviului,010951
Bucureşti,Bucureşti,Stradă Fluviului,010952
Bucureşti,Bucureşti,Şosea Orhideelor,010953
Bucureşti,Bucureşti,Şosea Orhideelor,010954
Bucureşti,Bucureşti,Şosea Orhideelor,010955
Bucureşti,Bucureşti,Şosea Orhideelor,010956
Bucureşti,Bucureşti,Stradă Moxa Mihail,010961
Bucureşti,Bucureşti,Stradă Moxa Mihail,010962
Bucureşti,Bucureşti,Stradă Sfintii Voievozi,010963
Bucureşti,Bucureşti,Stradă Sfintii Voievozi,010964
Bucureşti,Bucureşti,Stradă Sfintii Voievozi,010965
Bucureşti,Bucureşti,Stradă Sfintii Voievozi,010966
Bucureşti,Bucureşti,Stradă Sfintii Voievozi,010967
Bucureşti,Bucureşti,Piata Sfintii Voievozi,010968
Bucureşti,Bucureşti,Stradă Teodoroiu Ecaterina,010971
Bucureşti,Bucureşti,Stradă Teodoroiu Ecaterina,010972
Bucureşti,Bucureşti,Intrare Teodoroiu Ecaterina,010973
Bucureşti,Bucureşti,Stradă Semicercului,010974
Bucureşti,Bucureşti,Stradă Semicercului,010975
Bucureşti,Bucureşti,"Intrare Lemnea Dumitru, lt.",010976
Bucureşti,Bucureşti,Stradă Occidentului,010981
Bucureşti,Bucureşti,Stradă Occidentului,010982
Bucureşti,Bucureşti,Stradă Occidentului,010983
Bucureşti,Bucureşti,Stradă Occidentului,010984
Bucureşti,Bucureşti,Stradă Frumoasa,010985
Bucureşti,Bucureşti,Stradă Frumoasa,010986
Bucureşti,Bucureşti,Stradă Frumoasa,010987
Bucureşti,Bucureşti,Stradă Frumoasa,010988
Bucureşti,Bucureşti,Intrare Frumoasa,010989
Bucureşti,Bucureşti,Stradă Sevastopol,010991
Bucureşti,Bucureşti,Stradă Sevastopol,010992
Bucureşti,Bucureşti,Intrare Sevastopol,010993
Bucureşti,Bucureşti,"Intrare Augustin Dan, serg.",010994
Bucureşti,Bucureşti,"Intrare Dascalu Nicolae, serg.",010995
Bucureşti,Bucureşti,"Intrare Ionescu David, cap.",010996
Bucureşti,Bucureşti,Stradă Buzesti,011011
Bucureşti,Bucureşti,Stradă Buzesti,011012
Bucureşti,Bucureşti,Stradă Buzesti,011013
Bucureşti,Bucureşti,Stradă Buzesti,011014
Bucureşti,Bucureşti,Stradă Buzesti,011015
Bucureşti,Bucureşti,Intrare Buzesti,011016
Bucureşti,Bucureşti,Stradă Buzesti,011017
Bucureşti,Bucureşti,Piata Buzesti,011018
Bucureşti,Bucureşti,Stradă Muntii Tatra,011021
Bucureşti,Bucureşti,Stradă Muntii Tatra,011022
Bucureşti,Bucureşti,Intrare Santierului,011023
Bucureşti,Bucureşti,Stradă Dragoslavele,011024
Bucureşti,Bucureşti,"Stradă Sergiu Dumitru, dr.",011025
Bucureşti,Bucureşti,"Stradă Sergiu Dumitru, dr.",011026
Bucureşti,Bucureşti,Stradă Bradului,011027
Bucureşti,Bucureşti,Stradă Macul Rosu,011028
Bucureşti,Bucureşti,"Stradă Felix Iacob, dr.",011031
Bucureşti,Bucureşti,"Stradă Felix Iacob, dr.",011032
Bucureşti,Bucureşti,"Stradă Felix Iacob, dr.",011033
Bucureşti,Bucureşti,"Stradă Felix Iacob, dr.",011037
Bucureşti,Bucureşti,"Stradă Felix Iacob, dr.",011038
Bucureşti,Bucureşti,"Intrare Felix Iacob, dr.",011042
Bucureşti,Bucureşti,Stradă Micle Veronica,011043
Bucureşti,Bucureşti,Stradă Micle Veronica,011044
Bucureşti,Bucureşti,Stradă Micle Veronica,011045
Bucureşti,Bucureşti,Stradă Maltopol,011047
Bucureşti,Bucureşti,Stradă Maltopol,011048
Bucureşti,Bucureşti,Bulevard Cuza Alexandru Ioan,011051
Bucureşti,Bucureşti,Bulevard Cuza Alexandru Ioan,011052
Bucureşti,Bucureşti,Bulevard Cuza Alexandru Ioan,011053
Bucureşti,Bucureşti,Bulevard Cuza Alexandru Ioan,011054
Bucureşti,Bucureşti,Bulevard Cuza Alexandru Ioan,011055
Bucureşti,Bucureşti,Bulevard Cuza Alexandru Ioan,011056
Bucureşti,Bucureşti,Bulevard Cuza Alexandru Ioan,011057
Bucureşti,Bucureşti,"Stradă Cernat Alexandru, g-ral",011058
Bucureşti,Bucureşti,"Stradă Cernat Alexandru, g-ral",011059
Bucureşti,Bucureşti,Stradă Polizu Gheorghe,011061
Bucureşti,Bucureşti,Stradă Polizu Gheorghe,011062
Bucureşti,Bucureşti,"Stradă Varnali Leonida, dr.",011063
Bucureşti,Bucureşti,"Stradă Varnali Leonida, dr.",011064
Bucureşti,Bucureşti,Intrare Sagna,011065
Bucureşti,Bucureşti,Intrare Gadinti,011066
Bucureşti,Bucureşti,"Bulevard Duca D.Gheorghe, ing.",011071
Bucureşti,Bucureşti,"Bulevard Duca D.Gheorghe, ing.",011072
Bucureşti,Bucureşti,"Bulevard Duca D.Gheorghe, ing.",011073
Bucureşti,Bucureşti,"Bulevard Duca D.Gheorghe, ing.",011074
Bucureşti,Bucureşti,"Bulevard Duca D.Gheorghe, ing.",011075
Bucureşti,Bucureşti,"Bulevard Duca D.Gheorghe, ing.",011076
Bucureşti,Bucureşti,Stradă Poni Petru,011077
Bucureşti,Bucureşti,Stradă Poni Petru,011078
Bucureşti,Bucureşti,Stradă Arion C.C.,011081
Bucureşti,Bucureşti,Stradă Arion C.C.,011082
Bucureşti,Bucureşti,"Stradă Ionescu Paul, lt. col.",011083
Bucureşti,Bucureşti,"Stradă Ionescu Paul, lt. col.",011084
Bucureşti,Bucureşti,"Intrare taruseanu Pandele, ing.",011085
Bucureşti,Bucureşti,"Intrare taruseanu Pandele, ing.",011086
Bucureşti,Bucureşti,"Stradă Dissescu Constantin, jr.",011087
Bucureşti,Bucureşti,"Stradă Dissescu Constantin, jr.",011088
Bucureşti,Bucureşti,"Stradă Dissescu Constantin, jr.",011089
Bucureşti,Bucureşti,"Stradă Bianu Ioan, filolog",011091
Bucureşti,Bucureşti,"Stradă Bianu Ioan, filolog",011092
Bucureşti,Bucureşti,Stradă Negruzzi Iacob,011093
Bucureşti,Bucureşti,Stradă Negruzzi Iacob,011094
Bucureşti,Bucureşti,Stradă Deparateanu Alexandru,011095
Bucureşti,Bucureşti,Stradă Deparateanu Alexandru,011096
Bucureşti,Bucureşti,Stradă Miron Costin,011097
Bucureşti,Bucureşti,Stradă Miron Costin,011098
Bucureşti,Bucureşti,Stradă Rares Petru,011101
Bucureşti,Bucureşti,Stradă Rares Petru,011102
Bucureşti,Bucureşti,Intrare Dan Voda,011103
Bucureşti,Bucureşti,Intrare Duca Voda,011104
Bucureşti,Bucureşti,Stradă Prunaru,014551
Bucureşti,Bucureşti,Stradă Prunaru,014552
Bucureşti,Bucureşti,Stradă Prunaru,014553
Bucureşti,Bucureşti,Stradă Magura Florilor,014554
